,Portfolio_Value,Daily_Return
2024-05-10,242278.4923133583,0.0011466750029772489
2024-05-13,241930.75882812677,-0.0014352635345846964
2024-05-14,243037.46237234288,0.004574463989518507
2024-05-15,246005.44921394717,0.012212054934383843
2024-05-16,245868.1691301781,-0.0005580367597861407
2024-05-17,245321.4844365206,-0.002223487064598517
2024-05-20,245648.314322366,0.0013322513786188988
2024-05-21,245884.94790927743,0.0009633023029862463
2024-05-22,245856.0185591007,-0.00011765401023007245
2024-05-23,248119.42470955892,0.009206226325975208
2024-05-24,250696.44051509834,0.010386191280896307
2024-05-28,253868.34254292367,0.012652361642263823
2024-05-29,252858.80098683,-0.003976634289968462
2024-05-30,248136.8808528254,-0.018674137959906627
2024-05-31,247743.99891181954,-0.0015833274749627703
2024-06-03,251779.06727013207,0.016287249644940084
2024-06-04,253158.00318449546,0.0054767694920561105
2024-06-05,261836.1305280589,0.034279490414683964
2024-06-06,262112.53296334736,0.0010556313780340832
2024-06-07,261309.1486933287,-0.0030650356964464277
2024-06-10,264985.5753590942,0.014069261195596818
2024-06-11,266412.6166510988,0.005385354618155436
2024-06-12,269960.65731943183,0.013317840246956415
2024-06-13,276300.935187347,0.023485932842477308
2024-06-14,279638.1151084496,0.012078062344739338
2024-06-17,282819.1278752245,0.011375462052236007
2024-06-18,282123.2341004935,-0.0024605612072958966
2024-06-20,279653.3004261903,-0.008754804198165945
2024-06-21,276585.0427628936,-0.010971648318187845
2024-06-24,270149.6608025517,-0.02326728118070622
2024-06-25,276352.88288989005,0.022962168706449716
2024-06-26,279264.8068323457,0.01053697689709241
2024-06-27,280401.4381344941,0.004070084286813813
2024-06-28,276919.17293307267,-0.012418856424520898
2024-07-01,279914.52130504075,0.010816688278539566
2024-07-02,281435.4536852735,0.005433560120931569
2024-07-03,283221.18226852606,0.006345073301423842
2024-07-05,288237.6261249904,0.01771210689922278
2024-07-08,286717.1513570124,-0.005275073863252878
2024-07-09,288134.6401144401,0.004943857563870302
2024-07-10,291595.43051752774,0.012011018188278433
2024-07-11,282983.9375016734,-0.029532331835826445
2024-07-12,282798.52484545286,-0.000655205584661255
